,LABEL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20,LEFT,-16.17,-20.29,-21.69,-23.26,-27.12,-30.71,-32.02,-33.17,-34.41,-32.71,-29.72,-30.21,-32.1,-32.16,-31.54,-31.88,-33.87,-38.81,-44.27,-47.18,-47.17,-44.76,-46.57,-68.02,-113.51,-167.03,-214.8,-252.21,-269.39,-257.9,-221.37,-172.07,-118.49,-62.03,-8.94,34.91,68.86,91.16,105.21,116.54,123.87,126.35,126.93,127.56,126.13,114.54,84.64,40.43,-4.54,-40.69
21,LEFT,-36.16,-36.62,-37.91,-43.03,-50.29,-47.38,-24.05,12.92,49.83,82.69,111.03,127.54,133.68,141.2,149.06,148.89,142.47,134.55,121.94,97.35,58.36,9.83,-40.46,-89.44,-138.33,-181.29,-211.8,-236.38,-257.3,-267.94,-269.91,-268.71,-264.84,-255.32,-241.39,-226.49,-212.07,-196.94,-178.57,-160.09,-144.55,-129.74,-112.9,-96.16,-83.58,-72.55,-59.93,-47.74,-36.18,-23.04
22,LEFT,12.95,12.21,10.44,12.98,17.9,15.25,3.63,-6.64,-10.87,-13.47,-17.57,-24.2,-30.87,-34.46,-35.76,-37.83,-41.5,-44.16,-44.16,-42.47,-38.9,-32.76,-33.55,-58.02,-108.91,-169.77,-225.97,-270.3,-293.24,-292.09,-272.24,-239.99,-200.82,-157.75,-112.06,-62.49,-10.95,35.59,71.77,98.75,124.33,148.29,165.5,177.94,186.28,188.47,183.06,170.28,156.5,148.97
23,LEFT,-62.01,-62.87,-48.96,-28.03,-7.22,18.25,50.57,86.42,122.0,153.34,182.83,210.02,224.75,224.74,214.64,193.61,161.63,122.91,80.39,37.52,-3.9,-45.42,-83.29,-116.4,-149.67,-182.31,-209.49,-225.77,-229.79,-225.02,-215.64,-205.39,-194.03,-180.4,-164.84,-149.51,-135.5,-122.5,-109.53,-94.86,-81.63,-70.01,-54.72,-36.7,-19.89,-5.35,4.95,14.08,27.81,38.47
24,LEFT,108.08,109.11,107.8,108.34,108.76,104.11,96.39,90.45,86.73,81.75,74.16,67.0,62.93,61.4,59.59,57.61,57.12,56.42,52.52,46.89,42.45,30.69,-1.32,-50.25,-102.87,-153.46,-200.65,-234.28,-240.83,-222.76,-195.14,-161.78,-117.69,-67.09,-17.46,27.38,69.94,110.99,142.55,160.92,172.95,183.7,190.58,191.84,189.71,184.27,173.54,158.96,145.07,135.14
25,LEFT,-66.23,-73.08,-80.67,-87.98,-88.15,-70.93,-39.27,-5.15,22.74,37.8,41.69,46.5,55.23,61.35,63.75,63.0,57.78,49.61,40.6,27.15,5.34,-22.8,-52.67,-82.45,-116.58,-156.95,-199.07,-238.1,-269.4,-288.61,-296.61,-295.99,-289.86,-281.68,-273.32,-265.77,-255.0,-238.01,-218.22,-201.19,-185.7,-167.87,-149.51,-132.38,-114.59,-95.23,-78.08,-64.38,-50.62,-37.62
26,LEFT,-69.74,-60.55,-56.05,-57.46,-50.37,-23.14,13.47,46.24,74.14,97.97,118.5,135.19,149.68,168.14,186.96,195.19,189.54,173.08,145.98,107.27,60.49,10.35,-40.35,-88.94,-131.94,-168.48,-197.74,-218.91,-232.46,-236.59,-232.02,-222.19,-210.11,-198.76,-187.35,-173.02,-156.17,-139.45,-122.89,-107.22,-93.73,-77.79,-58.34,-41.03,-30.43,-27.83,-29.06,-24.87,-9.63,14.28
27,LEFT,20.83,20.74,20.01,17.55,12.96,7.23,1.72,-2.69,-1.54,3.13,2.35,-4.01,-11.55,-13.02,-8.26,-9.01,-14.35,-15.63,-17.59,-25.27,-31.45,-31.01,-33.84,-55.85,-100.92,-159.31,-218.47,-262.75,-277.09,-263.0,-234.14,-203.29,-175.71,-147.42,-113.69,-75.25,-36.3,3.75,42.88,73.8,99.43,122.29,138.14,149.42,159.54,166.26,167.81,164.19,156.27,146.3
28,LEFT,-58.29,-59.14,-56.04,-52.35,-52.57,-50.97,-34.31,-2.59,32.07,62.04,87.05,111.14,134.54,154.39,171.95,186.3,193.18,190.07,176.47,150.29,106.84,46.48,-19.86,-79.6,-130.52,-174.98,-210.35,-234.02,-247.04,-251.96,-250.63,-247.08,-241.19,-229.41,-213.78,-197.13,-179.68,-162.63,-147.85,-134.99,-122.88,-110.68,-95.53,-77.4,-59.91,-45.23,-33.48,-22.47,-12.69,-6.2
29,LEFT,41.11,36.74,25.62,12.46,5.59,5.23,5.91,2.93,-2.56,-3.07,-2.46,-5.36,-8.57,-12.7,-16.46,-15.73,-10.88,-6.74,-10.45,-22.01,-31.35,-38.74,-61.38,-105.27,-152.89,-188.81,-212.92,-220.77,-202.86,-160.03,-104.67,-51.13,-6.52,24.98,36.91,29.32,7.0,-20.71,-45.47,-66.8,-83.75,-91.28,-85.29,-66.71,-42.21,-16.72,11.39,43.17,73.21,96.2
30,LEFT,-60.56,-61.51,-65.19,-60.9,-37.19,-1.91,28.94,51.27,66.76,77.3,85.1,91.47,99.26,108.33,116.13,119.76,113.0,94.03,65.98,32.11,-4.41,-45.14,-91.37,-133.2,-163.84,-189.74,-213.96,-230.84,-238.71,-242.7,-245.39,-240.11,-225.04,-208.53,-194.64,-180.05,-162.69,-147.51,-137.73,-128.57,-113.53,-93.66,-76.64,-63.2,-50.37,-38.0,-25.38,-11.54,2.76,14.25
31,LEFT,59.82,53.64,51.03,52.5,54.18,53.8,51.54,47.87,43.2,40.23,38.84,37.67,36.66,35.09,33.1,30.8,27.05,20.98,16.63,16.33,12.25,-7.19,-43.55,-86.88,-130.89,-171.28,-201.92,-221.83,-224.83,-198.89,-145.36,-80.18,-20.08,28.67,67.29,94.87,112.48,122.49,129.23,137.58,144.89,142.53,121.43,80.63,32.66,-3.95,-19.81,-21.0,-14.52,-0.41
32,LEFT,65.57,62.82,61.46,57.93,52.03,49.98,52.27,53.85,53.68,53.34,52.19,48.24,42.79,37.56,33.98,32.06,31.07,29.71,27.06,25.07,22.76,11.35,-18.54,-62.99,-113.49,-166.52,-214.77,-246.75,-253.63,-237.05,-206.09,-164.82,-114.49,-58.57,-5.54,40.43,79.64,109.39,135.0,161.45,180.71,187.02,185.92,183.17,177.38,168.08,159.62,153.37,146.21,136.04
33,LEFT,-75.46,-58.86,-24.79,11.39,38.24,57.02,72.79,81.92,79.49,73.19,71.37,74.06,79.75,88.97,99.18,103.51,100.2,89.69,70.1,43.34,11.01,-29.05,-70.01,-104.21,-136.28,-170.19,-198.76,-212.61,-213.38,-208.85,-203.03,-197.63,-192.67,-186.16,-175.39,-159.34,-137.75,-113.67,-93.7,-79.43,-70.01,-62.45,-51.92,-38.35,-25.68,-14.61,-2.1,12.06,24.61,32.8
34,LEFT,32.05,25.05,16.15,6.6,-1.2,-7.08,-8.04,-5.09,-4.6,-6.54,-8.36,-11.41,-17.23,-20.44,-17.79,-16.81,-20.52,-22.81,-22.45,-23.56,-24.35,-23.92,-36.52,-74.91,-126.76,-169.85,-199.17,-219.61,-226.67,-218.37,-202.22,-180.78,-152.31,-118.81,-83.45,-47.09,-12.07,14.7,34.46,56.31,79.93,96.86,107.88,119.09,131.09,140.27,141.62,136.77,133.6,132.73
35,LEFT,-34.85,-18.13,11.04,41.23,66.12,86.9,103.5,118.65,136.37,152.64,164.18,174.48,184.38,187.97,178.15,154.01,119.46,78.27,33.17,-10.61,-49.68,-86.49,-122.09,-151.7,-174.29,-191.85,-203.95,-208.47,-204.8,-195.89,-182.88,-168.45,-157.07,-147.89,-137.21,-125.32,-114.37,-101.09,-83.66,-66.34,-52.02,-40.12,-28.92,-19.17,-12.09,-5.8,0.84,8.81,16.42,19.77
36,LEFT,65.68,68.62,74.78,79.61,80.27,78.53,77.73,78.28,79.16,80.53,79.52,72.47,62.23,56.7,57.32,60.46,63.21,63.25,60.06,55.25,47.48,26.71,-12.81,-64.88,-122.3,-183.81,-243.21,-281.2,-285.26,-258.03,-212.73,-165.62,-117.25,-54.32,22.85,92.75,141.68,181.25,216.72,241.11,257.48,271.71,280.71,280.49,271.23,255.36,235.53,215.19,196.36,176.97
37,LEFT,-99.5,-105.16,-106.48,-106.08,-97.14,-66.89,-26.27,5.95,32.5,59.38,82.79,97.09,100.32,96.68,89.09,75.43,55.97,36.86,18.8,-3.35,-31.01,-64.04,-99.23,-130.3,-156.12,-181.97,-211.96,-240.23,-259.11,-271.34,-278.56,-276.48,-264.29,-247.71,-230.32,-212.19,-195.71,-180.21,-161.25,-138.62,-117.31,-99.89,-83.73,-67.28,-49.73,-32.21,-18.1,-8.42,-1.52,5.26
38,LEFT,17.58,17.75,15.38,10.78,6.48,4.05,5.26,6.54,3.93,0.52,-4.44,-5.18,-0.21,-2.92,-11.69,-17.55,-19.04,-17.11,-17.96,-22.35,-22.53,-17.67,-20.77,-45.83,-90.91,-145.34,-201.49,-252.23,-289.63,-303.21,-291.57,-265.5,-231.61,-188.95,-134.63,-71.14,-6.48,48.12,85.62,112.21,132.67,151.22,172.72,189.74,195.26,192.95,189.51,187.54,184.37,177.2
39,LEFT,-79.24,-76.61,-74.38,-75.24,-78.48,-81.92,-78.71,-58.28,-21.62,19.1,55.99,89.54,121.56,148.51,167.2,178.38,178.08,162.98,137.69,105.52,63.38,10.83,-44.73,-96.69,-143.77,-187.0,-225.75,-256.36,-273.5,-278.07,-277.04,-269.75,-253.78,-237.2,-226.64,-218.07,-203.37,-182.81,-160.57,-138.54,-118.6,-103.41,-93.44,-82.71,-69.35,-57.53,-47.16,-36.8,-25.05,-10.39
40,LEFT,105.91,105.45,105.14,102.18,98.18,94.98,91.59,87.02,81.16,77.61,78.01,79.25,78.54,75.18,70.02,62.98,56.71,53.21,53.05,53.48,41.99,7.47,-42.82,-92.92,-143.48,-194.53,-231.01,-247.85,-247.52,-228.33,-190.3,-135.85,-71.74,-4.72,54.56,97.41,131.64,162.21,185.77,203.41,215.73,223.13,225.76,221.14,209.12,193.11,176.67,162.63,151.68,138.14
41,LEFT,-112.99,-119.7,-124.34,-127.62,-121.2,-91.86,-46.64,-7.77,14.88,27.43,36.78,48.73,65.26,80.91,89.48,90.4,84.46,68.9,44.16,14.23,-17.5,-51.74,-88.76,-124.36,-158.22,-192.7,-223.97,-243.39,-253.08,-260.14,-263.7,-262.88,-257.2,-245.23,-227.94,-210.36,-193.31,-175.86,-160.95,-147.9,-132.46,-112.96,-92.85,-72.98,-54.84,-42.94,-31.99,-15.32,2.4,15.82
42,LEFT,47.79,46.76,43.62,37.37,29.93,25.39,24.2,25.12,27.38,27.21,20.37,10.46,4.7,3.43,4.47,4.32,1.44,-0.47,-4.33,-5.28,2.22,3.51,-18.3,-65.23,-119.85,-171.25,-222.83,-258.26,-257.11,-218.43,-157.49,-95.7,-43.93,-2.38,27.42,38.52,27.21,5.38,-16.69,-38.93,-51.42,-47.45,-35.71,-19.18,5.32,36.72,68.28,90.95,107.84,124.61
43,LEFT,-56.48,-59.02,-62.53,-67.34,-71.55,-63.95,-39.86,-7.8,25.2,55.21,78.41,100.04,124.4,147.15,164.66,173.33,169.19,152.43,123.76,82.6,31.76,-19.8,-66.0,-109.82,-151.51,-183.2,-205.06,-223.36,-236.27,-239.81,-234.79,-226.17,-213.86,-198.96,-187.73,-180.43,-172.02,-160.37,-148.13,-134.01,-115.68,-95.46,-76.38,-60.76,-47.13,-32.77,-19.59,-9.7,-1.42,8.08
44,LEFT,28.39,23.63,21.12,20.49,18.29,14.9,10.72,5.74,2.78,3.93,4.26,5.17,5.63,-3.49,-8.67,-2.05,-1.01,-8.55,-15.79,-19.47,-20.53,-23.46,-38.29,-77.07,-131.84,-180.7,-219.52,-256.59,-281.6,-279.6,-254.08,-210.96,-155.52,-99.81,-52.74,-12.01,26.86,61.73,87.59,104.36,123.07,146.22,160.28,162.64,160.7,156.2,149.31,143.16,139.08,133.28
45,LEFT,-54.05,-30.01,-14.55,-2.64,15.64,37.59,54.21,63.58,74.53,91.19,107.21,118.28,123.39,123.12,118.91,111.6,99.66,79.31,51.42,19.67,-15.61,-51.93,-90.96,-133.48,-169.33,-190.86,-201.89,-209.66,-214.84,-215.72,-214.95,-210.96,-200.25,-184.58,-168.2,-151.02,-134.27,-121.42,-108.9,-95.33,-83.2,-72.54,-62.56,-50.61,-37.13,-23.81,-11.83,-3.56,1.89,7.33
46,LEFT,27.41,22.17,16.27,11.58,5.24,-2.3,-5.07,-7.02,-9.56,-7.57,-6.34,-11.89,-21.97,-29.17,-29.5,-29.81,-34.11,-36.35,-34.52,-33.24,-31.86,-28.33,-32.06,-58.05,-108.57,-167.36,-216.93,-252.54,-272.24,-271.67,-252.43,-220.21,-180.47,-133.92,-83.4,-38.11,-2.87,24.24,48.05,71.22,90.24,102.52,113.73,124.88,129.49,128.7,126.18,120.59,110.05,97.67
47,LEFT,-32.82,-31.46,-30.48,-30.87,-28.3,-12.27,22.44,65.86,100.75,122.52,147.12,180.04,203.57,210.5,208.32,198.26,176.89,144.8,104.81,56.03,-2.02,-57.46,-96.11,-125.68,-156.69,-183.04,-200.29,-210.54,-216.27,-215.99,-208.14,-197.57,-187.13,-175.07,-161.56,-149.13,-132.84,-107.05,-80.14,-63.13,-56.07,-49.84,-39.81,-31.42,-28.46,-27.26,-22.67,-15.09,-8.12,-0.13
48,LEFT,70.02,66.88,61.96,56.05,49.11,45.13,45.04,45.51,44.5,42.04,38.14,31.7,22.87,13.19,6.14,3.5,3.36,-1.5,-15.92,-24.4,-21.08,-21.89,-36.76,-69.55,-118.34,-169.36,-215.9,-256.75,-277.22,-270.51,-249.2,-220.63,-182.05,-133.72,-80.88,-26.37,24.65,66.69,101.34,128.49,152.29,175.32,187.63,186.73,181.7,177.11,171.97,165.45,156.94,146.08
49,LEFT,-81.25,-83.96,-89.25,-88.77,-73.89,-50.09,-28.12,-7.74,16.86,41.96,58.52,72.57,93.51,116.23,133.66,144.78,149.43,143.96,125.24,95.68,58.49,15.12,-33.03,-84.4,-131.45,-170.98,-206.45,-230.9,-240.19,-242.92,-245.75,-247.01,-241.64,-230.17,-217.21,-204.31,-189.66,-173.79,-160.59,-148.49,-135.25,-121.37,-106.77,-89.21,-71.65,-59.73,-48.63,-33.48,-17.01,-2.3
50,LEFT,89.08,87.78,81.25,72.46,67.72,66.11,64.68,64.24,65.08,64.81,61.97,56.38,49.18,45.59,46.8,47.81,45.11,40.38,37.34,32.65,15.77,-18.81,-61.96,-106.49,-152.4,-191.67,-215.68,-220.71,-208.47,-183.28,-148.39,-109.87,-72.71,-37.31,-1.09,33.02,57.64,77.53,98.62,118.3,133.66,144.23,152.66,159.74,163.0,161.96,158.12,151.79,144.11,136.14
