,LABEL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32,RIGHT,12.45,12.85,20.82,31.54,33.63,25.48,15.67,8.07,2.54,1.21,1.63,-0.29,-0.0,2.71,-0.74,-8.48,-10.2,-9.02,-17.07,-29.79,-29.95,-18.63,-10.36,6.06,58.15,137.04,200.03,222.51,200.48,132.05,39.56,-33.58,-72.59,-96.32,-115.84,-125.25,-124.02,-117.43,-107.3,-99.55,-97.3,-93.57,-87.08,-84.63,-84.54,-79.0,-67.27,-56.04,-47.99,-45.22
33,RIGHT,52.76,85.82,110.43,121.81,118.56,112.08,112.92,115.23,111.79,108.61,107.14,98.44,84.31,78.55,82.78,83.99,78.52,75.87,78.24,75.26,65.26,59.85,62.46,74.14,111.02,177.47,239.53,259.15,228.55,161.8,83.06,16.49,-29.33,-62.54,-92.72,-116.88,-127.53,-127.48,-122.73,-115.07,-109.2,-107.5,-104.64,-98.96,-91.28,-80.56,-71.83,-69.53,-64.68,-52.61
34,RIGHT,118.26,133.13,139.52,135.63,127.1,118.58,110.29,101.88,95.39,92.94,93.13,91.91,86.26,78.29,74.7,76.4,75.88,68.94,58.72,47.99,39.63,37.35,43.19,67.24,118.17,174.83,199.18,176.65,119.98,51.2,-8.18,-47.2,-72.27,-93.5,-107.25,-105.36,-96.42,-92.96,-91.29,-87.45,-85.88,-85.09,-82.21,-81.64,-83.99,-82.86,-76.62,-68.5,-61.27,-56.96
35,RIGHT,-75.84,-131.85,-144.42,-111.91,-59.67,-11.87,26.27,57.6,79.21,86.27,82.62,78.69,78.95,79.34,77.06,71.73,64.57,61.17,63.43,64.38,60.2,52.01,43.8,53.69,100.0,169.85,227.45,241.57,198.86,119.36,45.06,-3.7,-35.84,-59.6,-76.63,-91.2,-102.33,-101.48,-89.04,-76.95,-72.13,-72.58,-74.14,-71.86,-64.44,-56.69,-51.65,-46.95,-42.28,-41.74
36,RIGHT,-61.47,-0.64,43.73,70.73,85.9,91.61,90.04,88.12,93.98,106.04,110.83,100.33,83.52,71.29,61.38,52.21,49.22,49.38,46.36,43.61,42.61,38.65,31.93,37.59,79.43,152.6,215.61,239.47,223.46,168.55,87.32,14.19,-32.11,-60.49,-79.95,-94.51,-106.74,-113.66,-114.07,-112.46,-109.01,-101.17,-93.17,-89.06,-85.4,-78.82,-70.59,-63.55,-58.87,-55.57
37,RIGHT,48.09,75.63,101.06,113.69,111.9,108.15,107.39,105.12,100.68,95.88,91.0,87.36,84.88,80.83,74.88,70.04,66.72,62.0,57.17,55.55,53.87,47.42,38.2,37.43,66.62,132.5,202.66,236.87,226.98,182.74,111.69,32.01,-30.38,-67.59,-88.64,-101.17,-109.64,-116.78,-121.88,-122.64,-117.81,-109.96,-102.04,-92.8,-83.81,-80.48,-82.8,-84.65,-79.83,-66.58
38,RIGHT,24.88,32.06,43.58,49.51,50.21,46.87,39.38,30.23,23.22,21.43,22.92,19.95,9.03,-2.08,-4.41,0.66,6.99,9.74,4.9,-6.08,-16.91,-23.82,-15.56,31.11,114.04,190.29,220.82,198.25,133.1,52.03,-12.08,-51.64,-81.02,-107.11,-124.28,-126.99,-120.82,-115.79,-113.97,-112.62,-109.87,-102.14,-88.65,-74.21,-64.45,-60.91,-59.87,-58.39,-57.97,-57.53
39,RIGHT,-5.52,-4.35,-5.24,-3.72,2.33,-7.07,-57.23,-129.28,-179.15,-192.64,-170.69,-110.81,-36.45,18.55,56.04,89.91,109.18,99.22,67.0,31.27,6.89,-0.43,7.84,32.53,80.89,150.68,214.48,240.64,227.22,196.29,163.97,135.76,113.23,91.4,65.01,41.99,34.75,37.26,33.11,19.98,9.74,8.73,9.99,6.71,-0.07,-5.66,-7.61,-5.96,13.44,69.92
41,RIGHT,124.84,116.59,103.36,91.42,83.9,80.2,79.59,81.18,80.57,73.53,61.92,52.61,49.12,49.28,47.89,42.09,34.97,31.19,29.7,24.84,14.38,4.73,7.0,37.75,106.54,185.8,231.42,230.23,190.73,120.61,40.0,-25.65,-70.03,-99.55,-118.42,-130.67,-138.94,-139.49,-128.59,-111.0,-95.62,-87.55,-86.38,-87.91,-87.24,-81.79,-73.82,-70.04,-72.0,-72.89
42,RIGHT,86.77,76.28,69.89,70.04,67.65,58.54,50.86,50.11,50.12,48.53,49.79,49.38,41.53,31.95,26.12,21.82,18.91,18.19,16.11,17.64,29.48,37.38,30.8,38.26,92.32,170.49,217.96,208.12,151.37,73.88,2.09,-51.5,-90.36,-119.02,-135.04,-138.45,-134.05,-124.7,-114.24,-110.08,-113.96,-115.95,-107.9,-96.1,-88.36,-83.4,-78.41,-74.4,-73.7,-74.68
